SNO,Industry,Median earnings (Men),Median earnings (Women),Women's earnings (as a % of men's earning)
1,Finance and insurance,83660,50456,60.31
2,"Other services, except public administration",35778,22083,61.72
3,"Professional, scientific, and technical services",84749,53152,62.72
4,"Agriculture, forestry, fishing and hunting",32021,20689,64.61
5,Management of companies and enterprises,85219,58718,68.90
6,Retail trade,30592,21415,70.00
7,Health care and social assistance,51233,35916,70.10
8,Information,65475,46552,71.10
9,Transportation and warehousing,44984,32345,71.90
10,Manufacturing,52026,37694,72.45
11,"Arts, entertainment, and recreation",28313,21066,74.40
12,Public administration,66032,50132,75.92
13,Accommodation and food services,20953,16256,77.58
14,Utilities,76884,60481,78.67
15,Wholesale trade,51407,40630,79.04
16,Administrative and support and waste management services,31531,25056,79.46
17,Educational services,47489,39704,83.61
18,Real estate and rental and leasing,46799,40293,86.10
19,"Mining, quarrying, and oil and gas extraction",73037,65364,89.49
20,Construction,42098,39222,93.17
